SOIL_ID,SNAM
282,Mpl_Mpl_SL3_8_>100cm_>100cm_N_A
283,Mpl_Mpl_SL3_8_>100cm_>100cm_N_B
284,Mpl_Mpl_SL3_8_>100cm_>100cm_Y_A
285,Mpl_Mpl_SL3_8_>100cm_>100cm_Y_B
286,Mpl_S1_S1_1_>100cm_60-100cm_N_A
287,Mpl_S1_S1_1_>100cm_60-100cm_Y_A
288,Mpl_S1_S1_1_>100cm_>100cm_N_A
289,Mpl_S1_S1_1_>100cm_>100cm_Y_A
290,Mpl_S1_S1_8_>100cm_60-100cm_N_A
291,Mpl_S1_S1_8_>100cm_60-100cm_N_D
292,Mpl_S1_S1_8_>100cm_60-100cm_Y_A
293,Mpl_S1_S1_8_>100cm_60-100cm_Y_D
294,Mpl_S1_S1_8_>100cm_<60cm_N_A
295,Mpl_S1_S1_8_>100cm_<60cm_N_D
296,Mpl_S1_S1_8_>100cm_<60cm_Y_A
297,Mpl_S1_S1_8_>100cm_<60cm_Y_D
298,Mpl_S1_S1_8_>100cm_>100cm_N_A
299,Mpl_S1_S1_8_>100cm_>100cm_N_C
300,Mpl_S1_S1_8_>100cm_>100cm_Y_A
301,Mpl_S1_S1_8_>100cm_>100cm_Y_C
302,Mpl_S2_S2_8_>100cm_>100cm_N_A
303,Mpl_S2_S2_8_>100cm_>100cm_Y_A
304,Mpl_S3_S1_8_>100cm_<60cm_N_B
305,Mpl_S3_S1_8_>100cm_>100cm_N_B
306,Mpl_S3_S1_8_>100cm_>100cm_Y_B
307,Mpl_S3_S3_1_>100cm_<60cm_N_A
308,Mpl_S3_S3_1_>100cm_>100cm_N_B
309,Mpl_S3_S3_1_>100cm_>100cm_Y_B
310,Mpl_S3_S3_8_>100cm_60-100cm_N_D
311,Mpl_S3_S3_8_>100cm_60-100cm_Y_D
312,Mpl_S3_S3_8_>100cm_<60cm_N_D
313,Mpl_S3_S3_8_>100cm_>100cm_N_A
314,Mpl_S3_S3_8_>100cm_>100cm_N_B
315,Mpl_S3_S3_8_>100cm_>100cm_Y_A
316,Mpl_S3_S3_8_>100cm_>100cm_Y_B
317,Mpl_SCL_SCL_8_>100cm_60-100cm_N_D
318,Mpl_SCL_SCL_8_>100cm_60-100cm_Y_D
319,Mpl_SCL_SCL_8_>100cm_>100cm_N_B
320,Mpl_SCL_SCL_8_>100cm_>100cm_Y_B
321,Mpl_SL3_SL3_8_>100cm_60-100cm_N_D
322,Mpl_SL3_SL3_8_>100cm_60-100cm_Y_D
323,Mpl_SL3_SL3_8_>100cm_>100cm_Y_A
324,Mpl_SiL1_SiL1_8_>100cm_>100cm_Y_B
325,S1_S1_LS1_2_>100cm_>100cm_N_A
326,S1_S1_LS1_2_>100cm_>100cm_Y_A
327,S1_S1_S1_2_>100cm_60-100cm_N_A
328,S1_S1_S1_2_>100cm_60-100cm_N_D
329,S1_S1_S1_2_>100cm_60-100cm_Y_A
330,S1_S1_S1_2_>100cm_>100cm_N_A
331,S1_S1_S1_2_>100cm_>100cm_Y_A
332,S1_S1_S1_5_>100cm_60-100cm_N_A
333,S1_S1_S1_5_>100cm_60-100cm_N_D
334,S1_S1_S1_5_>100cm_60-100cm_Y_A
335,S1_S1_S1_5_>100cm_<60cm_N_A
336,S1_S1_S1_5_>100cm_<60cm_N_D
